"","id","created_time","snippet","headline"
"31",1,"2025-07-27T14:27:37Z","Firefighters are battling several blazes, with officials warning that extreme heat will pose a risk of more in the coming days.","Dozens of Wildfires Burn in Greece and Turkey as Temperatures Soar"
"32",2,"2025-05-29T12:30:03Z","The National Weather Service warned of “dangerously hot conditions” from Friday through Sunday.","Western U.S. Is About to See Its First Major Heat of the Year"
"33",3,"2025-04-17T09:00:57Z","The N.I.H. has indicated that it will stop funding research on the health effects of climate change. Scientists said the decision will curtail the search for answers.","How Is Climate Change Harming Health? Studying That Just Got Harder."
"34",4,"2025-05-22T09:00:35Z","Nonwhite communities may have a more difficult road ahead as climate change exacerbates major weather events.","Homeowners of Color Face Greater Climate Risk"
"35",5,"2025-08-18T09:00:48Z","City planners say the day when temperatures as high as 122 degrees Fahrenheit, or 50 Celsius, could stall the French capital is not far off. They are already starting to prepare.","Paris Braces for a Future of Possibly Paralyzing Heat"
"36",6,"2025-06-24T22:26:33Z","Climate change is increasingly making weather extremes more common.","A Heat Wave Hits New York Earlier Than Usual for a Second Year in a Row"
"37",7,"2025-10-30T09:00:22Z","As climate change has helped push cocoa prices higher, companies are changing candy recipes in subtle ways.","What’s Missing From Your Favorite Chocolate Bar? It May Be Chocolate."
"38",8,"2025-11-04T21:56:37Z","","New York’s next mayor will face big decisions on climate change."
"39",9,"2025-11-30T08:00:16Z","The scores aimed to predict a property’s risk from fires, floods and storms, but some in the real estate industry as well as homeowners have called them inaccurate.","Zillow Removes Climate Risk Scores From Home Listings"
"40",10,"2025-07-02T16:25:01Z","Companies are reporting a drop in business, reflecting the economic toll of the heat wave, which is lowering productivity and keeping shoppers at bay.","As Heat Grips Europe, a Struggle to Keep Workers and Customers Cool"
"41",1,"2025-03-07T14:18:58Z","Years of war and food insecurity in the region made the extreme heat especially dangerous.","Climate Change Made South Sudan’s Heat Wave 10 Times as Likely, Study Finds"
"42",2,"2025-09-17T04:01:05Z","Three times as many people in cities and towns died from severe heat as would have done in a world without human-caused warming, scientists said.","Climate Change’s Toll in Europe This Summer: Thousands of Extra Deaths"
"43",3,"2025-06-25T09:01:03Z","David Keeling would take over the workplace-safety agency just as it is considering rules to protect against extreme heat. His former employers, UPS and Amazon, have opposed the rules.","Trump’s OSHA Nominee Has a History With Heat and UPS Drivers"
"44",4,"2025-06-24T15:25:05Z","The temperature was forecast to reach 99 degrees or higher on Tuesday, which could cause some voters, especially older ones, to stay home.","Primary Day in New York City Coincides With a Major Heat Wave"
"45",5,"2025-06-21T21:12:46Z","St. Louis, Chicago and Des Moines were among the cities that saw heat indexes hit triple digits on Saturday, with the East Coast bracing for similar conditions by Monday.","Midwest Cities Bake as Heat Wave Blankets the Central U.S."
"46",6,"2025-06-24T18:53:56Z","Scientists are increasingly concerned about the ways extreme heat and air pollution are linked.","How Heat Waves Can Worsen Air Quality"
"47",7,"2025-07-12T04:01:13Z","How one man gets by in the unbearable and inescapable heat of Pakistan’s biggest and most unlivable city.","When It’s This Hot, ‘We Are Enduring, Not Living’"
"48",8,"2025-06-19T09:30:05Z","Many places around the country will experience their first significant heat of the year in the next few days. Here’s why it’s so dangerous.","Intense Heat Wave Will Leave the Midwest Sweltering This Weekend"
"49",9,"2025-09-02T13:00:09Z","Scores of researchers reviewed the Energy Department’s argument about greenhouse gases and found serious deficiencies.","Scientists Denounce Trump Administration’s Climate Report"
"50",10,"2025-08-20T19:01:20Z","A stretch of unusually hot weather combined with exceptionally dry vegetation will elevate the risk of wildfire.","A Combustible Mix of Heat and Storms Is Expected Across Southern California"
"51",1,"2025-10-18T16:13:09Z","The battery spontaneously combusted while stored in a luggage in the overhead bin. The airline said there were no injuries.","Lithium Battery Fire Aboard Air China Flight Forces an Emergency Landing"
"52",2,"2025-04-10T22:19:25Z","Even in a region known for heat, this week’s highs, this early in the year, are an “anomaly,” the National Weather Service said.","Phoenix Hits 100 Degrees as Southwest Swelters in Spring Heat"
"53",3,"2025-08-13T15:21:15Z","As the summer heat becomes increasingly extreme in Phoenix, people who can’t escape the sun are suffering third-degree burns, heatstroke and dehydration.","Homeless and Burning in America’s Hottest City"
"54",4,"2025-08-12T11:01:04Z","Firefighters have spent days battling blazes in Greece, Portugal, Spain and elsewhere. Forecasters said temperatures could pass 111 degrees in some places on Thursday.","What to Know About the Heat Wave and Wildfires in Southern Europe"
"55",5,"2025-07-28T11:36:36Z","The most intense storms, with wind gusts potentially exceeding 75 m.p.h., were forecast for central and eastern South Dakota, southwestern Minnesota and northern Iowa.","Severe Storms, and a Possible Derecho, Threaten the Northern Plains"
"56",6,"2025-09-25T09:04:48Z","The world is hot — and only getting hotter. We looked at what places around the globe are doing to keep cool.","How Cities Are Beating the Heat"
"57",7,"2025-06-30T19:38:12Z","A punishing heat wave broke records in southern Europe and hasn’t peaked yet in some places, prompting warnings to residents, employers and tourists to alter their habits.","Europe’s Heat Wave Is Dangerous and Still Getting Worse"
"58",8,"2025-07-09T11:55:35Z","Parts of South Korea and Japan have had short rainy seasons this year. Scientists say that climate change has helped make the summer rains more unreliable.","Umbrellas Optional? East Asia’s Monsoon Rains Are No Longer a Sure Thing"
"59",9,"2025-06-22T09:30:02Z","Temperatures in Central Park this week could reach 100 degrees for the first time since 2012.","It’s About to Get Brutally Hot in New York City"
"60",10,"2025-09-14T09:00:58Z","Why Gaza’s young are especially vulnerable.","This Is What Malnutrition Does to Children’s Bodies"
"61",1,"2025-06-25T03:12:12Z","The former governor’s supporters were in a low-key mood even before Andrew Cuomo told them that Zohran Mamdani had won the primary.","A Stunned Cuomo Watch Party Finds Itself With Little to Celebrate"
"62",2,"2025-08-07T08:16:14Z","Prime Minister François Bayrou described the nearly 40,000-acre fire, which has killed one person, as a “catastrophe on an unprecedented scale.”","Here’s What France’s Largest Wildfire in Decades Looks Like"
"63",3,"2025-07-15T19:36:23Z","Climate change has made extreme rainfall more common and more intense. But many flood risk maps have yet to catch up.","How to Know Your Flood Risk"
"64",4,"2025-05-29T16:00:10Z","Experts said it is the first wrongful death case targeting fossil fuel companies over their role in global warming.","Oil Companies Are Sued Over Death of Woman in 2021 Heat Wave"
"65",5,"2025-06-27T09:03:38Z","It only takes a few minutes to boost your mood.","Happiness Doesn’t Have to Be a Heavy Lift"
"66",6,"2025-11-04T18:30:08Z","The city’s new leader will have to contend with preparing for deadly floods, rising electricity costs and the future of an ambitious energy efficiency program.","New York’s Next Mayor Will Face Big Decisions on Climate Change"
"67",7,"2025-07-08T13:05:33Z","A blaze in southern France forced the closure of the Marseille airport, and weather agencies issued warnings for other parts of Europe where temperatures were expected to climb this week.","Wildfires Burn Across Europe After Blistering Heat Wave"
"68",8,"2025-11-19T10:00:56Z","Extreme heat causes cows to produce less milk. This poses problems in cheese-obsessed Italy, especially as it tries to meet growing demand for favorites like burrata.","The Climate Is Changing, Cows Are Stressed and Italy’s Cheesemakers Are Worried"
"69",9,"2025-05-22T19:52:59Z","If passed, a bill from the House of Representatives would sharply curtail the tax credits that have spurred a rise in clean energy investments.","House Bill Would Derail Biden’s Signature Climate Law"
"70",10,"2025-08-16T04:01:18Z","The tradition of the siesta is no accident. Spain has been living with extreme heat for centuries, and its people have ways of coping.","Spain’s Old Ways May Show How to Keep Cool"
"71",1,"2025-06-16T09:02:09Z","As workplace deaths from heat increase, OSHA is debating the future of the first federal rules to protect workers from extreme heat.","Will Trump End the First Federal Heat Protections for Workers?"
"72",2,"2025-12-02T20:00:23Z","The floods and landslides that have killed more than 1,350 people in recent weeks are a grim reminder of the risks of a warming planet.","Reckoning With a New Era of Deadly Floods"
"73",3,"2025-04-23T16:39:13Z","Vermont was the first state to try to hold polluters accountable for climate disasters. New research aims to assign specific responsibility.","New Study Could Bolster Climate Laws to Make Polluters Pay"
"74",4,"2025-07-03T21:00:05Z","Plus, North Korea’s new beach resort.","Friday Briefing: House Passes Trump’s Big Bill"
"75",5,"2025-08-21T18:55:26Z","It won’t be a hurricane much longer, but the storm could still make an impact next week.","What Happens When Hurricane Erin Crosses the Atlantic? Europe Is Watching."
"76",6,"2025-11-20T20:20:49Z","The plan from the Interior Department is one of the president’s most significant steps yet to increase domestic fossil fuel production.","Trump Plans to Open More Than a Billion Acres of U.S. Waters to Drilling"
"77",7,"2025-07-01T11:56:05Z","With 6,700 refillable water bottles, “shade mapping” and ice packs, the world’s oldest championship tennis tournament is taking Britain’s heat wave seriously.","How Wimbledon Is Tackling Its Hottest Opening on Record"
"78",8,"2025-07-10T23:44:35Z","In a 220-page report to FEMA last year, Kerr County said a flood was likely within a year, and could exceed historical records.","Read the document"
"79",9,"2025-07-11T21:18:27Z","A focus on the Boeing 787’s fuel switches in a preliminary assessment raised questions about the pilots’ actions, but much is still unknown about Flight 171.","Fuel to Air India Plane Was Cut Off Before Deadly Crash, Report Says"
"80",10,"2025-01-10T19:54:24Z","Extreme weather events — deadly heat waves, floods, fires and hurricanes — are the consequences of a warming planet, scientists say.","‘We’re in a New Era’: How Climate Change Is Supercharging Disasters"
"81",1,"2025-08-05T09:02:23Z","While the Dragon Bravo Fire has burned more than 123,000 acres, much of the surrounding national park remains open. Here’s the latest.","What Travelers Need to Know About the Fire Raging at the Grand Canyon"
"82",2,"2025-12-18T06:56:04Z","Jimmy Kimmel called the president’s last-minute speech “a surprise prime-time episode of ‘The Worst Wing’ tonight on every channel.”","Late Night Shades Trump’s Impromptu ‘Liar-Side Chat’"
"83",3,"2025-08-26T11:14:53Z","We look at a deadly strike — and explore the challenges of reporting from the enclave.","Journalism in Gaza"
"84",4,"2025-05-19T14:21:27Z","The European Union scaled back its forecast for growth in 2025 by nearly half a percentage point, as the jump in tariffs and surrounding chaos bite.","Tariff Uncertainty Threatens to Drag Down Europe’s Economic Growth"
"85",5,"2025-06-24T09:01:54Z","Here’s what to know about the primary election for mayor and a number of other posts, which will take place on the hottest day of the year so far.","Primary Day, by the Numbers"
"86",6,"2025-06-25T10:51:51Z","We’re covering the upset in New York City and the weather.","A Primary and a Heat Wave"
"87",7,"2025-10-06T19:25:13Z","Communities including Baltimore and Annapolis are asking the state’s top court to revive a case accusing oil companies of spreading disinformation.","Maryland Judges Weigh Whether Cities Can Sue Over Climate Change"
"88",8,"2025-08-18T09:01:01Z","Roughly a quarter of the national park’s more than 1 million visitors go there in June, July and August, when temperatures soar. Why?","120 Degrees and Still They Come: The Allure of Death Valley in the Summer"
"89",9,"2025-07-01T21:02:41Z","Plus, a new way to see Cézanne.","Wednesday Briefing: Senate Passes Trump’s Signature Bill"
"90",10,"2025-12-05T10:03:36Z","When buyers can’t see the climate risks of prospective homes up front, they may take on more exposure than they can afford.","What Zillow Won’t Tell You"
"91",1,"2025-11-07T10:02:39Z","Has anything really changed in the decade since the Paris Agreement was reached? Actually, quite a lot.","10 Years After a Breakthrough Climate Pact, Here’s Where We Are"
"92",2,"2025-08-14T16:39:45Z","Unusually dry conditions are revealing the outlines of old walls at British historical sites. Climate change is making the lines, called “parchmarks,” more frequently visible.","Echoes of Old Walls Appear, Briefly, in Britain’s Arid Soil"
"93",3,"2025-07-11T09:00:40Z","As extreme heat becomes more common, urban dwellers must relinquish their bias against daytime darkness and embrace the shadows.","In a Hotter World, We Need to Get Over Our Fear of Shadows"
"94",4,"2025-06-23T13:05:15Z","More than 400 firefighters were battling five wildfires on Chios in the Aegean Sea, which authorities are investigating as possible arson.","Villages Evacuated on Greek Island as Wildfires Rage"
"95",5,"2025-08-19T19:20:34Z","With villages swept away and Pakistan’s largest city assailed by monsoon floods, climate change has brought a catastrophic new normal to the country.","Once a Source of Life and Renewal, Monsoon Brings Death to Pakistan"
"96",6,"2025-06-20T09:02:05Z","Representative James E. Clyburn of South Carolina is endorsing former Gov. Andrew M. Cuomo in the New York City mayor’s race as the June 24 primary nears.","Clyburn Endorses Cuomo, Helping Him Broaden His Appeal to Black Voters"
"97",7,"2025-07-02T04:06:07Z","President Trump’s signature policy bill.","Wednesday Briefing"
"98",8,"2025-10-28T04:01:09Z","In a memo, the Microsoft co-founder warned against climate alarmism and appears to have shifted some of his views about climate change.","Bill Gates Says Climate Change ‘Will Not Lead to Humanity’s Demise’"
"99",9,"2025-05-06T10:00:17Z","In Iraq, the landscape that cradled civilization is enduring a water crisis with profound implications.","A Climate Warning From the Fertile Crescent"
"100",10,"2025-07-04T16:10:19Z","More than 1,500 people were evacuated when a fire broke out on the southeastern tip of Crete, most of them tourists.","As Fire Videos Compete With Beach Photos, Greeks Who Rely on Tourism Are Worried"
"101",1,"2025-05-25T09:01:33Z","Growths on plants formed by parasitic weevils help their offspring hunker down on a Brazilian savanna and outlast the flames.","These Plants Protect Larvae From Wildfires"
"102",2,"2025-11-09T13:25:12Z","“Ask a Correspondent” will take your questions to Somini Sengupta, our international climate reporter.","What Questions Do You Have About Climate Change?"
"103",3,"2025-06-26T15:50:50Z","Human-caused global warming has been increasing faster and faster since the 1970s.","The World Is Warming Up. And It’s Happening Faster."
"104",4,"2025-06-23T17:36:13Z","Some hot days feel even worse thanks to high humidity, trapped heat and dew points. Cities are especially vulnerable.","Why the Outside Feels Like Soup"
"105",5,"2025-08-04T16:22:21Z","The area around the immigrant detention center, deep in the Everglades, is threatened by hurricanes, extreme heat and even wildfires.","At ‘Alligator Alcatraz,’ the Biggest Risk Isn’t Alligators"
"106",6,"2025-06-04T15:40:23Z","Higher temperatures caused by climate change are driving complex processes that make droughts bigger and more severe, new research shows.","It’s Not Just Poor Rains Causing Drought. The Atmosphere Is ‘Thirstier.’"
"107",7,"2025-11-20T10:00:05Z","“There was no warning, no conversation,” said Jane Clougherty, an environmental health scientist, who had a federal grant canceled earlier this year.","She Studied How to Protect Children From Pollution and Heat"
"108",8,"2025-08-13T21:11:04Z","Also, Trump spoke with European leaders ahead of his talks with Putin.","Thursday Briefing: Air Conditioning Politics"
"109",9,"2025-08-14T04:30:05Z","Also, Trump spoke with European leaders ahead of his talks with Putin.","Thursday Briefing: Air Conditioning Politics"
"110",10,"2025-08-13T04:30:05Z","Also, interviewing a former Palestinian militia leader.","Wednesday Briefing: Russian Forces Advance in Ukraine"
